Sample,DM
1,17.09
2,16.73
3,16.80
4,18.64
5,18.25
6,18.11
7,22.93
8,22.53
9,23.44
10,19.39
11,22.08
12,19.76
13,19.49
14,18.30
15,22.34
16,18.52
17,19.77
18,19.93
19,19.03
20,18.69
21,24.44
22,19.22
23,19.52
24,19.93
25,19.35
26,24.30
27,20.11
28,21.60
29,21.75
30,20.28
31,21.17
32,23.25
33,23.41
34,20.41
35,24.65
36,27.15
37,23.52
38,21.73
39,22.31
40,25.62
41,27.33
42,27.40
43,26.47
44,25.50
45,22.48
46,22.51
47,26.15
48,26.72
49,25.86
50,26.03
51,26.23
52,26.22
53,26.13
54,21.27
55,25.16
56,24.54
57,24.82
58,25.68
59,23.86
60,22.10
61,24.30
62,25.39
63,26.74
64,23.24
65,25.29
66,23.48
67,27.06
68,24.68
69,22.48
70,19.04
71,24.89
72,23.60
73,26.68
74,25.49
75,22.46
76,21.13
77,25.82
78,22.03
79,23.30
80,25.10
81,21.13
82,21.17
83,23.52
84,21.64
85,21.22
86,24.80
87,25.54
88,19.51
89,21.61
90,22.75
91,21.93
92,19.44
